id,file_id,yl,y,user_id,algorithm,created_at,updated_at,mode
9509,1284,-1,2,59,rt,2018-02-02 22:30:20.808658,2018-02-02 22:30:20.808701,test
9510,1435,-1,2,59,rt,2018-02-02 22:30:23.702997,2018-02-02 22:30:23.703037,test
9511,1338,-1,2,59,rt,2018-02-02 22:30:27.282128,2018-02-02 22:30:27.282169,test
9512,1348,-1,2,59,rt,2018-02-02 22:30:30.183879,2018-02-02 22:30:30.183920,test
9513,343,1,1,59,rt,2018-02-02 22:30:34.677016,2018-02-02 22:30:34.677061,test
9514,322,1,1,59,rt,2018-02-02 22:30:41.426955,2018-02-02 22:30:41.426994,test
9515,400,1,1,59,rt,2018-02-02 22:30:48.135241,2018-02-02 22:30:48.135281,test
9516,372,-1,1,59,rt,2018-02-02 22:30:52.499058,2018-02-02 22:30:52.499130,test
9517,433,1,1,59,rt,2018-02-02 22:30:55.891550,2018-02-02 22:30:55.891589,test
9518,403,1,1,59,rt,2018-02-02 22:30:59.750859,2018-02-02 22:30:59.750898,test
9519,319,1,1,59,rt,2018-02-02 22:31:03.588817,2018-02-02 22:31:03.588855,test
9520,291,-1,1,59,rt,2018-02-02 22:31:07.110530,2018-02-02 22:31:07.110571,test
9521,272,1,1,59,rt,2018-02-02 22:31:10.783494,2018-02-02 22:31:10.783544,test
9522,392,1,1,59,rt,2018-02-02 22:31:13.919067,2018-02-02 22:31:13.919127,test
9523,1277,-1,2,59,rt,2018-02-02 22:31:16.964150,2018-02-02 22:31:16.964190,test
9524,1190,-1,2,59,rt,2018-02-02 22:31:20.891171,2018-02-02 22:31:20.891211,test
9525,248,-1,1,59,rt,2018-02-02 22:31:25.295636,2018-02-02 22:31:25.295686,test
9526,1320,-1,2,59,rt,2018-02-02 22:31:45.726910,2018-02-02 22:31:45.726952,test
9527,251,1,1,59,rt,2018-02-02 22:31:49.332672,2018-02-02 22:31:49.332713,test
9528,282,-1,1,59,rt,2018-02-02 22:31:52.369710,2018-02-02 22:31:52.369752,test
9529,1405,-1,2,59,rt,2018-02-02 22:31:58.558010,2018-02-02 22:31:58.558049,test
9530,1419,-1,2,59,rt,2018-02-02 22:32:01.855154,2018-02-02 22:32:01.855194,test
9531,1402,-1,2,59,rt,2018-02-02 22:32:07.744439,2018-02-02 22:32:07.744477,test
9532,1274,-1,2,59,rt,2018-02-02 22:32:10.434589,2018-02-02 22:32:10.434630,test
9533,1303,-1,2,59,rt,2018-02-02 22:32:13.090299,2018-02-02 22:32:13.090339,test
9534,289,1,1,59,rt,2018-02-02 22:32:17.531360,2018-02-02 22:32:17.531403,test
9535,364,1,1,59,rt,2018-02-02 22:32:20.793443,2018-02-02 22:32:20.793482,test
9536,383,1,1,59,rt,2018-02-02 22:32:23.227647,2018-02-02 22:32:23.227689,test
9537,394,1,1,59,rt,2018-02-02 22:32:25.843883,2018-02-02 22:32:25.843923,test
9538,476,1,1,59,rt,2018-02-02 22:32:44.847473,2018-02-02 22:32:44.847529,test
9539,262,1,1,59,rt,2018-02-02 22:32:49.032729,2018-02-02 22:32:49.032769,test
9540,346,1,1,59,rt,2018-02-02 22:32:52.639302,2018-02-02 22:32:52.639343,test
9541,297,-1,1,59,rt,2018-02-02 22:32:57.691709,2018-02-02 22:32:57.691747,test
9542,1360,1,2,59,rt,2018-02-02 22:33:55.551469,2018-02-02 22:33:55.551509,test
9543,353,-1,1,59,rt,2018-02-02 22:34:00.420229,2018-02-02 22:34:00.420271,test
9544,401,-1,1,59,rt,2018-02-02 22:34:04.006057,2018-02-02 22:34:04.006099,test
9545,1163,1,2,59,rt,2018-02-02 22:34:08.768348,2018-02-02 22:34:08.768390,test
9546,1207,-1,2,59,rt,2018-02-02 22:34:26.642360,2018-02-02 22:34:26.642400,test
9547,1278,1,2,59,rt,2018-02-02 22:34:30.235519,2018-02-02 22:34:30.235561,test
9548,1162,1,2,59,rt,2018-02-02 22:34:34.668192,2018-02-02 22:34:34.668232,test
9549,408,-1,1,59,rt,2018-02-02 22:34:37.657013,2018-02-02 22:34:37.657083,test
9550,1387,-1,2,59,rt,2018-02-02 22:34:45.596784,2018-02-02 22:34:45.596826,test
9551,1275,-1,2,59,rt,2018-02-02 22:35:04.616914,2018-02-02 22:35:04.616956,test
9552,268,1,1,59,rt,2018-02-02 22:35:08.320541,2018-02-02 22:35:08.320580,test
9553,381,-1,1,60,imt,2018-02-03 14:19:46.674944,2018-02-03 14:19:46.674989,teaching
9554,1196,1,2,60,imt,2018-02-03 14:19:54.996913,2018-02-03 14:19:54.996977,teaching
9555,1182,-1,2,60,imt,2018-02-03 14:20:02.914252,2018-02-03 14:20:02.914295,teaching
9556,413,1,1,60,imt,2018-02-03 14:20:09.928284,2018-02-03 14:20:09.928347,teaching
9557,1204,1,2,60,imt,2018-02-03 14:20:17.728340,2018-02-03 14:20:17.728383,teaching
9558,255,-1,1,60,imt,2018-02-03 14:20:22.581172,2018-02-03 14:20:22.581214,teaching
9559,1420,1,2,60,imt,2018-02-03 14:20:30.285650,2018-02-03 14:20:30.285728,teaching
9560,274,1,1,60,imt,2018-02-03 14:20:38.956973,2018-02-03 14:20:38.957014,teaching
9561,469,-1,1,60,imt,2018-02-03 14:20:45.332248,2018-02-03 14:20:45.332290,teaching
